Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Indicator,OrderVal
2019-10-01 00:00:00-04:00,75.05000305175781,75.8499984741211,72.88999938964844,72.98999786376953,367700,0.0,0.0,ARW,1,69.45566592286914
2019-10-02 00:00:00-04:00,72.33000183105469,72.98999786376953,71.51000213623047,72.72000122070312,732000,0.0,0.0,ARW,0,179.03541771714583
2019-10-03 00:00:00-04:00,72.51000213623047,72.94999694824219,71.33000183105469,72.83999633789062,1330500,0.0,0.0,ARW,1,135.72476374725932
2019-10-04 00:00:00-04:00,72.87000274658203,74.37000274658203,71.31999969482422,74.33000183105469,923300,0.0,0.0,ARW,-1,134.42136274135123
2019-10-07 00:00:00-04:00,74.04000091552734,74.33999633789062,72.70999908447266,72.72000122070312,1011300,0.0,0.0,ARW,1,179.92136894183207
2019-10-08 00:00:00-04:00,72.18000030517578,72.31999969482422,71.2699966430664,71.31999969482422,524300,0.0,0.0,ARW,-1,177.12069371126037
2019-10-09 00:00:00-04:00,72.16000366210938,72.66999816894531,71.77999877929688,72.19000244140625,403600,0.0,0.0,ARW,1,28.869622693350415
2019-10-10 00:00:00-04:00,72.31999969482422,73.44000244140625,72.22000122070312,73.16000366210938,534300,0.0,0.0,ARW,1,165.74510908433885
2019-10-11 00:00:00-04:00,74.31999969482422,75.61000061035156,74.16000366210938,74.22000122070312,515000,0.0,0.0,ARW,-1,44.868853299332805
2019-10-14 00:00:00-04:00,74.05999755859375,74.33000183105469,73.54000091552734,73.88999938964844,542200,0.0,0.0,ARW,0,112.95511272381044
2019-10-15 00:00:00-04:00,74.43000030517578,75.5999984741211,74.05000305175781,74.9000015258789,1303400,0.0,0.0,ARW,-1,50.47810541544272
2019-10-16 00:00:00-04:00,75.0,76.80999755859375,75.0,75.63999938964844,524600,0.0,0.0,ARW,1,48.010240273852204
2019-10-17 00:00:00-04:00,76.08999633789062,76.19000244140625,75.37999725341797,76.05000305175781,403200,0.0,0.0,ARW,-1,36.085443934612144
2019-10-18 00:00:00-04:00,75.91000366210938,76.16999816894531,75.47000122070312,75.63999938964844,403200,0.0,0.0,ARW,0,59.92352996257338
2019-10-21 00:00:00-04:00,76.23999786376953,76.75,75.69000244140625,76.12000274658203,323200,0.0,0.0,ARW,-1,129.61965509261717
2019-10-22 00:00:00-04:00,76.1500015258789,76.7699966430664,75.30999755859375,76.3499984741211,355200,0.0,0.0,ARW,0,62.9507690498966
2019-10-23 00:00:00-04:00,76.02999877929688,76.94999694824219,75.54000091552734,76.58000183105469,424800,0.0,0.0,ARW,-1,44.39929815157409
2019-10-24 00:00:00-04:00,77.18000030517578,77.36000061035156,75.83000183105469,76.19000244140625,396100,0.0,0.0,ARW,-1,186.2185965354408
2019-10-25 00:00:00-04:00,76.0999984741211,77.63999938964844,75.25,77.16999816894531,429400,0.0,0.0,ARW,1,57.274103774399954
2019-10-28 00:00:00-04:00,77.76000213623047,78.68000030517578,77.18000030517578,77.62999725341797,384500,0.0,0.0,ARW,0,195.03210255386054
2019-10-29 00:00:00-04:00,77.18000030517578,78.55000305175781,77.18000030517578,78.29000091552734,610500,0.0,0.0,ARW,0,129.7961737223589
2019-10-30 00:00:00-04:00,78.43000030517578,78.48999786376953,77.37000274658203,78.19999694824219,349500,0.0,0.0,ARW,0,123.82064835386788
